"testtype","mincriterion","minsplit","minbucket","maxdepth","N1","N0","Time","Term","N","err","idx","err_all","min_idx","real_error"
"Teststatistic",0.99,40,10,4,707,166,13.349,1268,98,0.1901,258,0.1639,218,
"Teststatistic",0.99,40,20,5,707,166,14.498,1550,98,0.1901,259,0.1639,218,
"Teststatistic",0.99,60,10,4,707,166,12.894,1177,98,0.1901,260,0.1639,218,
"Teststatistic",0.99,60,20,5,707,166,13.814,1457,98,0.1901,261,0.1639,218,
"Teststatistic",0.9,60,10,6,706,167,14.554,1826,98,0.1913,262,0.1571,208,
"Teststatistic",0.95,10,5,6,706,167,17.294,2730,98,0.1913,263,0.1538,126,
"Teststatistic",0.95,60,10,6,706,167,15.083,1826,98,0.1913,264,0.1571,208,
"Teststatistic",0.99,10,5,6,706,167,18.042,2649,98,0.1913,265,0.1538,126,
"Teststatistic",0.99,60,10,6,706,167,14.525,1826,98,0.1913,266,0.1571,208,
"Univariate",0.99,40,20,0,720,171,11.582,516,100,0.1919,267,0.1762,52,
"Univariate",0.99,40,20,4,720,171,11.439,516,100,0.1919,268,0.1762,52,
"Univariate",0.99,40,20,5,720,171,11.429,516,100,0.1919,269,0.1762,52,
"Univariate",0.99,40,20,6,720,171,11.676,516,100,0.1919,270,0.1762,52,
"Univariate",0.99,40,30,0,720,171,11.008,515,100,0.1919,271,0.1762,52,
"Univariate",0.99,40,30,4,720,171,11.589,515,100,0.1919,272,0.1762,52,
"Univariate",0.99,40,30,5,720,171,11.427,515,100,0.1919,273,0.1762,52,
"Univariate",0.99,40,30,6,720,171,12.292,515,100,0.1919,274,0.1762,52,
"Univariate",0.99,60,20,0,720,171,11.378,516,100,0.1919,275,0.1762,52,
"Univariate",0.99,60,20,4,720,171,11.447,516,100,0.1919,276,0.1762,52,
"Univariate",0.99,60,20,5,720,171,11.408,516,100,0.1919,277,0.1762,52,
"Univariate",0.99,60,20,6,720,171,11.05,516,100,0.1919,278,0.1762,52,
"Univariate",0.99,60,30,0,720,171,11.018,515,100,0.1919,279,0.1762,52,
"Univariate",0.99,60,30,4,720,171,11.536,515,100,0.1919,280,0.1762,52,
"Univariate",0.99,60,30,5,720,171,11.427,515,100,0.1919,281,0.1762,52,
"Univariate",0.99,60,30,6,720,171,11.394,515,100,0.1919,282,0.1762,52,
"Univariate",0.9,20,10,4,676,161,12.707,1011,94,0.1924,283,0.1762,52,
"Univariate",0.9,40,10,4,676,161,12.051,918,94,0.1924,284,0.1762,52,
"Univariate",0.9,60,10,4,676,161,11.491,834,94,0.1924,285,0.1762,52,
"Teststatistic",0.9,10,5,0,704,169,24.33,3444,98,0.1936,286,0.1459,104,
"Teststatistic",0.9,40,20,4,702,171,13.57,1257,98,0.1959,287,0.1751,287,
"Teststatistic",0.9,60,20,4,702,171,12.949,1165,98,0.1959,288,0.1751,287,
"Teststatistic",0.95,10,5,0,702,171,22.866,3406,98,0.1959,289,0.1459,104,
"Teststatistic",0.95,40,20,4,702,171,13.17,1257,98,0.1959,290,0.1751,287,
"Teststatistic",0.95,60,20,4,702,171,13.224,1165,98,0.1959,291,0.1751,287,
"Teststatistic",0.99,10,5,0,702,171,22.968,3302,98,0.1959,292,0.1459,104,
"Teststatistic",0.99,40,20,4,702,171,13.992,1257,98,0.1959,293,0.1751,287,
"Teststatistic",0.99,60,20,4,702,171,13.016,1165,98,0.1959,294,0.1751,287,
"Bonferroni",0.9,10,5,0,716,175,12.254,673,100,0.1964,295,0.165,1,
"Bonferroni",0.9,10,5,5,716,175,12.097,673,100,0.1964,296,0.165,1,
"Bonferroni",0.9,10,5,6,716,175,12.006,673,100,0.1964,297,0.165,1,
"Bonferroni",0.9,20,5,0,716,175,12.148,673,100,0.1964,298,0.165,1,
"Bonferroni",0.9,20,5,5,716,175,11.816,673,100,0.1964,299,0.165,1,
"Bonferroni",0.9,20,5,6,716,175,11.918,673,100,0.1964,300,0.165,1,
"Bonferroni",0.9,40,5,0,716,175,11.944,670,100,0.1964,301,0.165,1,
"Bonferroni",0.9,40,5,5,716,175,11.433,670,100,0.1964,302,0.165,1,
"Bonferroni",0.9,40,5,6,716,175,11.757,670,100,0.1964,303,0.165,1,
"Bonferroni",0.9,60,5,0,716,175,11.776,670,100,0.1964,304,0.165,1,
"Bonferroni",0.9,60,5,5,716,175,11.568,670,100,0.1964,305,0.165,1,
