"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,8,1000,1e-04,0.1034,0.1958,818.9,-566869.3351,12.982,0.227,13.231
0,8,10000,1e-04,0.0744,0.2028,845.7,-4372971.3382,12.255,0.112,12.376
0,9,1,1,0.0059,0.4307,1935.6,-949.3445,27.067,0.56,27.854
0,9,10,1,0.0057,0.4228,1892.6,-1156.6717,26.902,0.487,27.612
0,9,100,1,0.0053,0.421,1892.2,-3068.991,27.524,0.5,28.063
0,9,1000,1,0.0046,0.4241,1893.9,-19331.6242,27.39,0.619,28.06
0,9,10000,1,0.0062,0.4224,1895.6,-250928.9771,26.848,0.611,27.637
0,9,1,0.1,0.0191,0.2904,1733.3,-785.1305,25.819,0.464,26.512
0,9,10,0.1,0.0063,0.2945,1730.6,-1179.0961,27.127,0.592,27.768
0,9,100,0.1,0.006,0.2913,1726,-3364.8648,26.761,0.489,27.291
0,9,1000,0.1,0.0055,0.2956,1730.5,-23141.8719,26.275,0.575,27.119
0,9,10000,0.1,0.0067,0.2878,1720.2,-268922.4226,26.458,0.483,26.967
0,9,1,0.01,0.0838,0.2104,1325,-782.5019,18.813,0.467,19.329
0,9,10,0.01,0.0406,0.2114,1243.4,-3235.4201,21.327,0.436,21.982
0,9,100,0.01,0.0186,0.2276,1190.8,-14261.477,23.425,0.413,24.03
0,9,1000,0.01,0.0068,0.2422,1119.6,-49521.6554,24.669,0.465,25.372
0,9,10000,0.01,0.0059,0.252,1082.8,-282393.2541,26.426,0.341,26.783
0,9,1,0.001,0.1359,0.1814,1293.1,-987.5517,19.192,0.496,19.778
0,9,10,0.001,0.1078,0.1782,971.3,-6437.592,14.415,0.2,14.807
0,9,100,0.001,0.0747,0.1845,876.6,-44515.5331,13.83,0.223,14.056
0,9,1000,0.001,0.042,0.1906,841.1,-270366.5974,15.691,0.188,15.901
0,9,10000,0.001,0.0216,0.217,770.8,-1408368.6444,19.128,0.177,19.32
0,9,1,1e-04,0.2562,0.3024,1817.5,-1533.7589,18.321,0.424,18.767
0,9,10,1e-04,0.1442,0.1833,1215.4,-9656.3603,15.095,0.313,15.432
0,9,100,1e-04,0.1196,0.1748,860.5,-67013.8918,12.507,0.114,12.628
0,9,1000,1e-04,0.1028,0.1806,774.5,-554054.6921,12.295,0.137,12.434
0,9,10000,1e-04,0.0746,0.1936,791.2,-4283040.0774,11.054,0.141,11.202
1,2,1,1,0,0.3986,1932.7,-915.0555,27.006,0.446,27.931
1,2,10,1,0,0.4026,1855.9,-921.7195,26.348,0.376,27.181
1,2,100,1,0,0.4012,1854,-920.8279,26.848,0.406,27.426
1,2,1000,1,0,0.399,1853.1,-920.1109,26.962,0.47,27.485
1,2,10000,1,0,0.3985,1853.7,-920.4812,26.426,0.479,27.359
1,2,1,0.1,3e-04,0.1766,1702,-624.4801,25.401,0.41,26.254
1,2,10,0.1,0,0.1694,1703.4,-635.8729,26.263,0.394,26.706
1,2,100,0.1,0,0.1655,1698.4,-630.7693,26.44,0.359,27.013
1,2,1000,0.1,0,0.1648,1700.2,-629.354,18.406,0.36,19.015
1,2,10000,0.1,0,0.1697,1709.4,-637.7282,18.381,0.334,18.745
1,2,1,0.01,0.0039,0.0323,507.8,-137.9477,8.086,0.074,8.245
1,2,10,0.01,3e-04,0.0316,489.1,-187.0429,7.719,0.093,7.871
1,2,100,0.01,0,0.0321,492.7,-196.1408,7.789,0.104,8.011
1,2,1000,0.01,0,0.0306,484.8,-187.935,7.764,0.095,7.879
1,2,10000,0.01,0,0.0312,482.2,-187.2804,7.736,0.132,7.885
1,2,1,0.001,0.0088,0.0136,264.2,-136.6512,5.011,0.067,5.13
1,2,10,0.001,0.0051,0.0148,152.4,-469.5564,3.544,0.039,3.7
1,2,100,0.001,9e-04,0.0175,119.7,-1472.2458,2.948,0.034,3.082
1,2,1000,0.001,0,0.0168,109.6,-1686.9715,2.823,0.028,2.892
1,2,10000,0.001,0,0.0193,106.8,-2183.2316,2.886,0.033,2.93
1,2,1,1e-04,0.0126,0.0145,664.4,-412.6825,7.251,0.12,7.454
1,2,10,1e-04,0.0097,0.0129,221.7,-1295.1624,4.071,0.065,4.144
1,2,100,1e-04,0.0057,0.0128,116.5,-4780.9149,2.82,0.031,2.874
1,2,1000,1e-04,0.0018,0.019,83.9,-17783.7387,2.174,0.052,2.227
1,2,10000,1e-04,1e-04,0.0218,72.4,-36616.2753,2.076,0.04,2.133
1,3,1,1,0,0.4004,1934.7,-916.5511,27.048,0.432,27.966
1,3,10,1,0,0.4026,1856.1,-922.0229,26.045,0.412,26.972
1,3,100,1,0,0.4007,1854.2,-920.8336,26.961,0.399,27.403
1,3,1000,1,0,0.4004,1851.3,-919.1056,26.933,0.52,27.518
1,3,10000,1,0,0.4012,1853.8,-920.4885,26.306,0.449,27.223
1,3,1,0.1,0,0.1841,1718.2,-634.6156,25.526,0.394,26.368
1,3,10,0.1,0,0.1703,1723.4,-641.9896,26.715,0.384,27.303
1,3,100,0.1,0,0.171,1718.9,-642.0075,26.822,0.322,27.344
1,3,1000,0.1,0,0.1704,1708.9,-637.3425,18.367,0.392,18.879
1,3,10000,0.1,0,0.169,1722.7,-643.7158,18.02,0.366,18.51
1,3,1,0.01,0.0019,0.0312,512.1,-128.4313,7.893,0.131,8.083
1,3,10,0.01,0,0.0305,501,-160.0992,7.87,0.133,8.017
1,3,100,0.01,0,0.0277,495.1,-153.2548,7.871,0.126,8.013
1,3,1000,0.01,0,0.03,496.9,-155.3672,7.787,0.133,7.94
1,3,10000,0.01,0,0.028,488.6,-147.23,7.87,0.157,8.035
1,3,1,0.001,0.0059,0.0113,250,-120.6296,4.792,0.08,4.904
1,3,10,0.001,0.0023,0.0106,147.7,-371.197,3.304,0.076,3.421
1,3,100,0.001,2e-04,0.0116,107.1,-857.0291,2.752,0.044,2.822
1,3,1000,0.001,0,0.0123,100.8,-821.3176,2.718,0.046,2.773
1,3,10000,0.001,0,0.0144,100.3,-1042.4618,2.734,0.065,2.802
1,3,1,1e-04,0.0112,0.0122,634.3,-387.0674,7.154,0.114,7.32
1,3,10,1e-04,0.0071,0.01,196,-1076.0523,3.831,0.092,3.925
1,3,100,1e-04,0.0027,0.0101,96.3,-3359.9169,2.616,0.044,2.692
1,3,1000,1e-04,5e-04,0.0126,67.9,-10337.046,2.028,0.032,2.068
1,3,10000,1e-04,0,0.0138,65.8,-11769.0189,1.982,0.05,2.047
