"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,7,100,1e-04,0.0258,0.0269,325.5,-24912.6459,0.687,0.011,0.702
0,7,1000,1e-04,0.0236,0.0248,176.1,-153162.5547,0.472,0,0.474
0,7,10000,1e-04,0.0232,0.0258,148.8,-1385548.7219,0.483,0,0.485
0,8,1,1,0.0617,0.1307,1060.6,-524.9176,2.048,0.089,2.15
0,8,10,1,0.0104,0.1518,918,-1659.0605,2.002,0.064,2.088
0,8,100,1,1e-04,0.1654,862.3,-2435.131,2.091,0.077,2.194
0,8,1000,1,0,0.1664,855.9,-2532.0895,2.095,0.09,2.21
0,8,10000,1,0,0.1697,857,-2484.1223,2.138,0.061,2.219
0,8,1,0.1,0.1196,0.1296,783.2,-677.7032,1.481,0.066,1.553
0,8,10,0.1,0.0996,0.1251,634,-5336.0681,1.343,0.042,1.399
0,8,100,0.1,0.0828,0.1304,585.2,-43532.3186,2.165,0.027,2.202
0,8,1000,0.1,0.0533,0.143,540.6,-302007.7694,7.157,0.041,7.273
0,8,10000,0.1,0.0236,0.1644,508.9,-1666915.8519,23.518,0.026,23.56
0,8,1,0.01,0.1711,0.1768,1143.9,-1010.8122,2.287,0.075,2.373
0,8,10,0.01,0.1423,0.1489,871,-7884.4465,1.802,0.088,1.895
0,8,100,0.01,0.1227,0.1318,705.3,-64609.7422,1.598,0.061,1.678
0,8,1000,0.01,0.11,0.1263,610.2,-556704.1164,2.617,0.019,2.693
0,8,10000,0.01,0.1,0.1248,575,-5003849.7186,8.974,0.055,9.088
0,8,1,0.001,0.21,0.2212,1675.8,-1437.8492,3.224,0.138,3.394
0,8,10,0.001,0.1939,0.197,1168.2,-10647.3672,2.359,0.103,2.499
0,8,100,0.001,0.1697,0.1769,952.9,-89589.4632,1.976,0.073,2.047
0,8,1000,0.001,0.146,0.1522,839.4,-771517.672,1.955,0.049,2.007
0,8,10000,0.001,0.1236,0.1322,697,-6423122.7128,3.074,0.028,3.123
0,8,1,1e-04,0.344,0.5074,2000,-1890.8179,3.526,0.157,3.691
0,8,10,1e-04,0.2141,0.2208,1672.4,-14369.2787,3.135,0.145,3.287
0,8,100,1e-04,0.1904,0.1934,1154,-105549.3868,2.315,0.096,2.425
0,8,1000,1e-04,0.1878,0.1914,973.8,-941864.18,2.024,0.064,2.099
0,8,10000,1e-04,0.1682,0.174,905.1,-8647019.9512,1.944,0.044,1.994
0,9,1,1,0.0047,0.0186,672.5,-161.3982,1.328,0.053,1.386
0,9,10,1,1e-04,0.0213,627.9,-221.1409,1.225,0.039,1.266
0,9,100,1,0,0.0195,621.1,-203.4246,1.218,0.038,1.275
0,9,1000,1,0,0.021,612.3,-208.575,1.197,0.05,1.265
0,9,10000,1,0,0.0201,622,-219.3009,1.206,0.037,1.263
0,9,1,0.1,0.0147,0.0184,199.2,-137.1803,0.462,0.002,0.464
0,9,10,0.1,0.0103,0.0189,127,-737.3807,0.405,0,0.408
0,9,100,0.1,0.0046,0.0216,104.9,-3330.7667,0.443,0,0.45
0,9,1000,0.1,8e-04,0.0288,109.3,-12778.8221,0.567,0,0.57
0,9,10000,0.1,0,0.0311,100.9,-18553.4975,0.581,0,0.588
0,9,1,0.01,0.025,0.0266,366.4,-273.4065,0.783,0.014,0.8
0,9,10,0.01,0.0218,0.0246,199.6,-1600.9599,0.494,0.002,0.51
0,9,100,0.01,0.015,0.0182,126,-9776.5197,0.463,0,0.46
0,9,1000,0.01,0.013,0.0207,107.3,-75341.6485,0.569,0,0.582
0,9,10000,0.01,0.0085,0.021,92.8,-503155.5092,1.302,0,1.306
0,9,1,0.001,0.0367,0.0378,875.2,-624.3764,1.592,0.044,1.654
0,9,10,0.001,0.0284,0.0299,359.2,-2741.4471,0.763,0.009,0.777
0,9,100,0.001,0.024,0.0255,197.3,-16746.8974,0.495,0.003,0.498
0,9,1000,0.001,0.0214,0.0242,142.9,-125355.0813,0.489,0,0.496
0,9,10000,0.001,0.0157,0.0202,120.7,-951555.2161,0.669,0,0.676
0,9,1,1e-04,0.0488,0.0727,1933,-1496.5316,2.842,0.125,2.975
0,9,10,1e-04,0.038,0.0402,876.1,-6252.172,1.455,0.048,1.505
0,9,100,1e-04,0.0288,0.03,362.8,-27883.4881,0.728,0.006,0.738
0,9,1000,1e-04,0.0248,0.0268,198.2,-170443.1051,0.508,0,0.508
0,9,10000,1e-04,0.0234,0.026,147.2,-1371453.9123,0.471,0.003,0.472
1,2,1,1,0.003,0.0163,893,-189.2851,1.758,0.075,1.84
1,2,10,1,0,0.0186,881,-210.6168,1.773,0.07,1.859
1,2,100,1,0,0.0186,877.1,-206.5539,1.774,0.081,1.88
1,2,1000,1,0,0.0195,878.3,-213.177,1.755,0.067,1.848
1,2,10000,1,0,0.0191,878.6,-207.0093,1.79,0.074,1.865
1,2,1,0.1,0.01,0.0125,144.6,-88.9418,0.367,0.002,0.368
1,2,10,0.1,0.0066,0.0137,110.6,-464.3431,0.364,0,0.368
1,2,100,0.1,0.0015,0.02,102.5,-1831.6475,0.418,0,0.427
1,2,1000,0.1,0,0.0232,101.7,-2603.7023,0.434,0,0.441
1,2,10000,0.1,0,0.0216,102.9,-2843.7146,0.436,0,0.444
