"kernel","C","p1","p2","error","cross","numSV","obj_f","time.elapsed","real_error"
"tanhdot",0.01,1,-2.4,0.296,0.298,613,-5.997,14.805,
"rbfdot",100,0.00001,,0.293,0.299,687,-61283.139,12.536,
"rbfdot",1,0.001,,0.294,0.3,686,-613.191,8.994,
"tanhdot",0.1,1,-2.4,0.296,0.301,463,-108.542,9.65,
"tanhdot",10,0.1,2.4,0.303,0.303,463,-5880.797,7.195,
"tanhdot",0.1,0.1,-1.8,0.295,0.303,689,-60.87,10.436,
"tanhdot",0.1,1,-1.8,0.303,0.303,512,-134.355,12.116,
"tanhdot",1,0.1,1.2,0.301,0.305,464,-575.329,10.828,
"tanhdot",1,0.1,0.6,0.312,0.307,411,-733.886,10.718,
"tanhdot",1,0.1,0,0.309,0.308,366,-789.485,9.393,
"tanhdot",1000,0.1,0,0.245,0.317,235,-69178118.304,6.793,
"tanhdot",100,0.1,0,0.246,0.319,237,-712378.871,8.699,
"tanhdot",100,1,2.4,0.405,0.32,376,-5608139.832,6.158,
"rbfdot",0.1,0.01,,0.315,0.322,690,-61.679,12.069,
"tanhdot",100000,0.1,0,0.245,0.324,235,-689530153769.818,6.886,
"tanhdot",10,0.1,0,0.316,0.328,320,-48935.466,7.043,
"tanhdot",0.01,1,-1.8,0.329,0.331,628,-6.449,15.025,
"tanhdot",10,0.1,0.6,0.331,0.334,339,-40510.749,8.882,
"tanhdot",100000,1,2.4,0.405,0.335,376,-5570577431966.16,6.901,
"tanhdot",0.1,0.1,1.2,0.327,0.335,685,-62.906,9.285,
"tanhdot",100,0.1,2.4,0.337,0.337,351,-214342.624,8.387,
"tanhdot",100000,0.1,0.6,0.257,0.337,233,-856217277861.763,8.904,
"tanhdot",0.01,1,-1.2,0.339,0.338,656,-6.753,10.491,
"tanhdot",10,0.1,1.8,0.338,0.338,388,-9345.22,7.567,
"tanhdot",10,0.1,1.2,0.338,0.338,347,-20067.978,8.171,
"tanhdot",1,0.1,2.4,0.333,0.338,685,-629.314,10.378,
"tanhdot",100,1,-2.4,0.364,0.34,423,-63680632.416,11.773,
"tanhdot",10000,0.1,0.6,0.257,0.34,233,-8564244176.999,6.496,
"tanhdot",100,0.1,1.2,0.269,0.341,251,-436499.502,9.182,
"tanhdot",100000,0.1,2.4,0.256,0.342,236,-44675036685.473,7.83,
"tanhdot",1000,0.1,0.6,0.257,0.343,233,-85849598.282,6.258,
"tanhdot",10000,0.1,2.4,0.256,0.343,236,-448847234.579,8.632,
"tanhdot",1000,0.1,1.8,0.268,0.343,248,-14558156.642,8.853,
"tanhdot",100,0.1,1.8,0.267,0.346,254,-167953.588,6.521,
"tanhdot",1000,0.1,1.2,0.268,0.346,249,-41432203.683,9.576,
"tanhdot",1,1,2.4,0.351,0.348,502,-1009.75,8.577,
"tanhdot",100000,1,-2.4,0.364,0.349,423,-63638474616171.9,11.618,
"tanhdot",1000,0.1,2.4,0.259,0.35,238,-4699495.428,9.474,
"tanhdot",1000,1,-2.4,0.364,0.353,423,-6364265241.617,12.031,
"tanhdot",1,1,-2.4,0.442,0.353,418,-7540.648,8.888,
"tanhdot",10000,1,-2.4,0.364,0.355,424,-636388544161.717,11.92,
"tanhdot",10,1,-2.4,0.361,0.358,433,-640653.663,11.43,
"tanhdot",0.1,1,1.2,0.371,0.359,548,-70.94,12.938,
"tanhdot",1000,1,-1.8,0.38,0.368,358,-5216325126.08,10.182,
"tanhdot",0.01,1,-0.6,0.369,0.37,670,-6.947,15.977,
"rbfdot",0.1,10,,0.364,0.371,684,-62.999,9.678,
